id,name,description
78,Juan Wyndorf,Ship's gunner and explosives tech; likes classical music
79,Colleen Traskker,Rough and ready; has a heart of gold; loves cats
80,Bernadette Galleen,Ex pleasure replicant; programmed to kill on command
81,Skyvis Meticon,Once an ousted prince; lowlife who plots return to his aristocratic roots
82,Holbin Moor,Jovial; fearless in battle; a good ally
83,Bettie  Davin,Excellent spy and soldier; famous military parent as well
84,Kyle Croft,Ex farmer turned merc; Amazing animal skills
85,Stephan Astellius,From an exiled royal line; Good heart; can be tough
86,Kris Brenner,All around merc; good at their job
87,Mindy Joval,Bred to be an elite assassin by the royal line of Hestria
88,Garret Acmin,Sly and mouthy; good at their job; prone to gambling
89,Tura Skale,Daughter of primitive tribes-men of the Dekkis feral world
90,Suva Hennick,Career merc; trained by the best and a stickler for tradition
91,Suva Hennick,Career merc; trained by the best; stickler for tradition
92,Lenny Sallis,Dodgy and seedy; Keep them away from the ladies
93,"Margo ""sure hands"" miller",Experienced combat pilot and missile tech
94,Linus Barlow,Well-educated; Kindly and thoughtful; speaks 20 languages
95,Jannick Kidder,Cold and serious; means business at all times
96,Robb Chadd,Ex military golden boy; fallen on hard times
97,Lolita Bonner,Femme fatale; deadly and stunning; Holds a black heart
98,"Bobby ""Read Beard"" Beardman",Angry red-haired hired gun; doesnt like jokes
99,Seriph Platuus,"Angelic and innocent looking, but total maniac"
100,Oldren Teal,"Old and wise, she is still  a competent fighter, but suffers with severe arthritis"
