56,"nightclub","moderate medical emergency","kenny wang, undercover police officer","Normal citizens avoid this place"
57,"noodle restaurant","nonlethal aggression against civilians","kimiko nogami, amateur assassin","Official meeting place for criminal syndicate"
58,"outdoor food court","notorious visitor with a history of crime","lazaro zhin, reformed mobster","Open for tourists"
59,"overcrowded slum","officers search for stolen item","lee zhin, reformed mobster","Outlaw hideout"
60,"pawnshop","outrageous vandalism","leon stark, explosives expert","Owner is wanted by the law"
61,"petshop","paramilitary drone strike","leslie thorpe, wannabe playboy","Perimeter defended by thick walls, armed guards"
62,"pharmacy","people fleeing in panic","luis valtierra, ruthless mercenary","Pharmaceutical manufacture"
63,"pizzeria","perverted prophet gives a sermon","marcelo pimentel, anabolic steroid-user","Pirated data at ultra-cheap rates"
64,"pod hotel","police arrive to investigate a disturbance", "maren mccarthy, over-zealous vigilante","Police posing as street punks"
65,"police station","police crime scene","Marlon pierce,famous roughneck","Political power base"
66,"private island","police raid incorrect location","megan faria, mobster's daughter","Powerful weapons for purchase here"
67,"private prison","poorly trained police attempt arrest","Melanie Feeney, reprehensible gambler","Recent security upgrade"
68,"private restaurant","professional hit on street","Michael Bernfield, gun-toting burglar","Recording devices everywhere"
69,"prosthetics workshop","prominent citizen present","Miles Shipley, cybercrime kingpin","Relaxed security"
70,"public toilet","protest rally","Min Ho Cheung, high-tech genius","Ridiculous prices"
71,"railway station","protestor killed by law enforcement","Moe Bandman, alcoholic boxer","Robbery happens frequently"
72,"redlight district","punks throwing bricks","Naoki Yoshida, professional athlete","Run by mercenaries"
73,"research lab","recent break-in","Natasha Sergovskaya, genetically engineered soldier","Sanctioned company hangout"
74,"residential complex","rescue of alleged criminal","Noshongwe Sauter, street samurai","Scandalous surveillance footage"
75,"resleeving parlour","riot police arrive","Nora Orly, transgender model","Secure depost boxes for rent"
76,"robot workshop","robbery in progress","Oliver Lane, ruthless cartel enforcer","Secure private meeting room"
77,"science academy","security agents dealing with a bomb threat","Paolo Cerelli, bounty hunter","Security cameras always active"
78,"self-storage facility","security detail suddenly end their watch", "Penny Gibson, elusive jewel thief","Security researches based in location"
79,"shwarma shop","security surround suspect", "Pete Rizzo, virtuous cyberterrorist","Security system outadated"
80,"shopping centre","serious military conflict","Rebecca Robles, devoted priest","Sells 'insurance' here"
81,"sleazy hotel","shotgun-toting thieves","Reid Wilks, music producer","Smart, overly paranoid guards"
82,"sleeve factory","special delivery arrives","Reiner Hofer, struggling restaurant owner","Smuggler hideout"
83,"solar power plant","statue of historical figure defaced","Rober Vanderveen, notorious underworld figure","Soon to be out of operation"
84,"spaceship hangar","strange goods for sale","Robin Besek, drugged-up cyber-doc","Special interest groups meet here"
85,"street market","student protest","Roland Pasillo, calculating surgeon","Specially designed weapons ordered here"
86,"strip club","suspicious person leaving","Sarah Schaaf, strongman for hire","Staff have a grudge with each other"
87,"subway terminal","teenage thug surrenders to authorities","Shari Singh, computer prodigy","Stolen identities for sale"
88,"super yacht","thieves take shipment of goods","Sho Khai, dirt-poor fence", "Surveillance free zone"
89,"supermarket","threatened employee","Skye Masterson, career criminal","Synthetic genes for sale"
90,"syndicate office","thug shot by police","So Young Lee, esoteric artist","Thieves avoid this place"
91,"taco stand","unusual burglary","Stefan Dzuban, irritated bar owner","Top-secret research facility"
92,"tattoo parlour","unusual item given to customer","Steve Huber, retired body guard","Unconventional meeting place"
93,"terrace restaurant","unusual rescue","Sue Ortiz, mysterious smuggler","Underground fight club operation"
94,"train station","unusually dressed individuals","Ty Brannigan, poison expert","Uniformed police presence"
95,"underground parking lot","vehicle trouble outside","Val Norbert, smart street con","Unusual food and drink"
96,"vacant building","violent kidnapping","Vanessa Silverstone, twitchy mercenary","Violent crimes common"
97,"vending machine mall","weapon check gone wrong","Victor Martinez, slimy fixer","Violent gang ownership"
98,"war memorial","volatile checmical leak","Vince Maniscalco, expnesive escort","Visitors never set foot here"
99,"wedding chapel","weirdo harassing patrons","Vinnie Corso, loner hacker","Well-known neutral meeting place"
100,"xenobiology lab","wild shootout","Yuri Serkan Gurbuz, blind mechanical engineer",""
