id,dice_roll,place,item
139,36,grocery store,pasta
140,37,grocery store,frosted flakes
141,38,grocery store,fudge graham cookies
142,32,grocery store,butterfinger bar
143,34,grocery store,potatoes
144,35,grocery store,tea bags
145,36,grocery store,pasta
146,37,grocery store,frosted flask
147,39,grocery store,oatmeal
148,40,grocery store,canned chicken
149,41,grocery store,popcorn (popped)
150,42,grocery store,salt and vinegar potato chips
151,43,grocery store,pepper
152,44,grocery store,budweiser
153,45,grocery store,corn (on the cob)
154,46,grocery store,garlic
155,47,grocery store,oreo cookies
156,48,grocery store,breadcrumbs
157,49,grocery store,limes
158,50,grocery store,chocolate ice cream
159,51,grocery store,natural light
160,52,grocery store,snickers bar
161,53,grocery store,chex mix
162,54,grocery store,oatmeal cookies
163,55,grocery store,salt
164,56,grocery store,white wine
165,57,grocery store,pretzels
166,58,grocery store,cooking wine
167,59,grocery store,cinnamon toast crunch
168,60,grocery store,canned peas
169,61,grocery store,lucky charms
170,62,grocery store,potato chips
171,63,grocery store,bologna
172,64,grocery store,diet coke
173,65,grocery store,pastrami
174,66,grocery store,onions
175,67,grocery store,captain crunch
176,68,grocery store,pineapple (canned)
177,69,grocery store,almonds
178,70,grocery store,chips ahoy cookies
179,71,grocery store,dr. pepper
180,72,grocery store,peanuts
181,73,grocery store,half and half
182,74,grocery store,carrots
183,75,grocery store,brownie mix
184,76,grocery store,watermelons
185,77,grocery store,bell peppers 
186,78,grocery store,hotdog buns
187,79,grocery store,twix bar
188,80,grocery store,apples
189,81,grocery store,paper plates
190,82,grocery store,bread (unsliced)
191,83,grocery store,hamburger buns
192,84,grocery store,tomatoes
193,85,grocery store,honey nut cheerios
194,86,grocery store,kit kat (candy bar)
195,87,grocery store,raisin bran
196,88,grocery store,mozzarella cheese
197,89,grocery store,BBQ potato chips
198,90,grocery store,ramen noodles
199,91,grocery store,fruit loops
200,92,grocery store,baby ruth (candy bar)
201,93,grocery store,dish soap
202,94,grocery store,shrimp (frozen)
203,95,grocery store,rice
204,96,grocery store,colby jack cheese
205,97,grocery store,vanilla ice cream
206,98,grocery store,coca cola
207,99,grocery store,pabst blue ribbon
208,100,grocery store,coors light
